iter	Passed	Remaining
0	0	59
1	1	58
2	1	53
3	1	47
4	2	46
5	2	45
6	3	45
7	3	44
8	4	44
9	4	43
10	5	43
11	5	42
12	6	42
13	6	41
14	7	41
15	7	40
16	8	39
17	8	39
18	9	38
19	9	38
20	10	37
21	10	37
22	10	36
23	11	36
24	11	35
25	12	35
26	12	34
27	13	34
28	13	33
29	14	33
30	14	32
31	15	32
32	15	31
33	16	31
34	16	30
35	17	30
36	17	29
37	17	29
38	18	28
39	18	28
40	19	27
41	19	27
42	20	26
43	20	26
44	21	26
45	22	25
46	22	25
47	23	25
48	24	25
49	24	24
50	25	24
51	26	24
52	26	23
53	27	23
54	27	22
55	28	22
56	28	21
57	29	21
58	29	20
59	29	19
60	30	19
61	30	18
62	31	18
63	31	17
64	32	17
65	32	16
66	33	16
67	33	15
68	34	15
69	34	14
70	35	14
71	35	13
72	36	13
73	36	12
74	37	12
75	37	11
76	38	11
77	38	10
78	39	10
79	39	9
80	40	9
81	40	8
82	40	8
83	41	7
84	41	7
85	42	6
86	42	6
87	43	5
88	43	5
89	44	4
90	44	4
91	45	3
92	45	3
93	46	2
94	46	2
95	46	1
96	47	1
97	47	0
98	48	0
99	48	0
