iter	Passed	Remaining
0	82	82762
1	83	41606
2	84	27970
3	85	21206
4	85	17051
5	86	14338
6	87	12477
7	89	11065
8	90	9948
9	91	9043
10	92	8313
11	93	7700
12	94	7206
13	95	6752
14	97	6370
15	98	6029
16	99	5728
17	100	5462
18	101	5229
19	102	5036
20	103	4847
21	105	4670
22	106	4503
23	107	4352
24	107	4211
25	109	4086
26	110	3978
27	111	3870
28	112	3769
29	113	3673
30	114	3582
31	115	3494
32	116	3417
33	117	3344
34	118	3271
35	119	3199
36	120	3131
37	121	3066
38	121	3003
39	122	2940
40	123	2877
41	123	2823
42	124	2774
43	125	2726
44	126	2678
45	126	2632
46	127	2587
47	128	2544
48	128	2502
49	129	2462
50	130	2425
51	131	2391
52	132	2359
53	132	2325
54	133	2292
55	133	2258
56	134	2225
57	135	2193
58	135	2162
59	136	2132
60	136	2103
61	137	2074
62	137	2046
63	138	2021
64	138	1997
65	139	1972
66	139	1947
67	140	1923
68	140	1899
69	141	1877
70	141	1854
71	142	1833
72	142	1812
73	143	1791
74	143	1771
75	144	1752
76	144	1733
77	145	1714
78	145	1696
79	146	1680
80	146	1664
81	147	1648
82	147	1629
83	147	1613
84	148	1597
85	148	1582
86	149	1566
87	149	1551
88	150	1537
89	150	1523
90	151	1509
91	151	1495
92	152	1482
93	152	1469
94	153	1457
95	153	1446
96	154	1435
97	154	1424
98	155	1413
99	155	1402
100	156	1390
101	157	1384
102	157	1375
103	158	1366
104	159	1356
105	159	1346
106	160	1337
107	160	1328
108	161	1319
109	161	1310
110	162	1300
111	162	1291
112	163	1282
113	163	1273
114	164	1264
115	164	1255
116	165	1246
117	165	1237
118	166	1229
119	166	1221
120	166	1213
121	167	1204
122	167	1196
123	168	1189
124	168	1182
125	169	1176
126	170	1169
127	170	1162
128	171	1156
129	171	1150
130	172	1143
131	172	1136
132	173	1129
133	173	1122
134	174	1115
135	174	1109
136	175	1102
137	175	1096
138	176	1090
139	176	1084
140	177	1079
141	177	1072
142	178	1067
143	178	1062
144	179	1056
145	179	1050
146	180	1044
147	180	1039
148	180	1033
149	181	1028
150	181	1022
151	182	1017
152	182	1012
153	183	1006
154	183	1002
155	184	999
156	185	994
157	185	990
158	186	985
159	186	981
160	187	975
161	187	971
162	188	966
163	188	961
164	189	956
165	189	952
166	189	947
167	190	943
168	190	938
169	191	934
170	192	932
171	192	929
172	193	925
173	194	921
174	194	917
175	195	913
176	195	908
177	195	904
178	196	900
179	196	896
180	197	892
181	197	888
182	198	885
183	198	881
184	199	878
185	199	875
186	200	871
187	201	868
188	201	864
189	201	861
190	202	857
191	202	853
192	203	850
193	203	846
194	204	843
195	204	839
196	205	836
197	205	833
198	206	829
199	206	826
200	207	823
201	207	820
202	208	817
203	208	814
204	209	811
205	209	808
206	210	805
207	210	801
208	211	798
209	211	795
210	211	792
211	212	789
212	212	786
213	213	783
214	213	780
215	214	778
216	214	775
217	215	772
218	215	769
219	216	767
220	216	764
221	217	761
222	217	758
223	218	755
224	218	753
225	219	750
226	219	747
227	220	745
228	220	742
229	221	740
230	221	737
231	222	735
232	222	732
233	223	730
234	223	728
235	224	725
236	224	723
237	225	720
238	225	717
239	225	715
240	226	712
241	226	710
242	227	707
243	227	705
244	228	703
245	228	700
246	229	698
247	229	696
248	230	694
249	230	692
250	231	689
251	231	687
252	232	685
253	232	683
254	232	680
255	233	678
256	233	676
257	234	674
258	234	672
259	235	670
260	235	668
261	236	665
262	236	663
263	237	662
264	238	660
265	238	658
266	239	656
267	239	654
268	239	652
269	240	650
270	240	647
271	241	645
272	241	643
273	242	641
274	242	639
275	243	637
276	243	635
277	244	633
278	244	632
279	245	630
280	245	629
281	246	627
282	246	625
283	247	623
284	247	621
285	248	619
286	248	617
287	249	616
288	249	614
289	250	612
290	250	610
291	251	608
292	251	606
293	251	604
294	252	603
295	253	602
296	253	600
297	254	598
298	254	597
299	255	595
300	255	593
301	256	592
302	256	590
303	257	589
304	257	587
305	258	585
306	258	583
307	259	582
308	259	580
309	260	579
310	260	577
311	261	576
312	261	574
313	262	572
314	262	571
315	263	569
316	263	568
317	264	566
318	264	565
319	265	563
320	265	561
321	266	560
322	266	558
323	266	557
324	267	555
325	267	554
326	268	552
327	269	551
328	269	549
329	270	548
330	270	546
331	271	545
332	271	543
333	271	542
334	272	540
335	272	539
336	273	537
337	273	536
338	274	534
339	274	533
340	275	531
341	275	530
342	276	529
343	276	527
344	277	526
345	277	524
346	278	523
347	278	521
348	279	520
349	279	519
350	279	517
351	280	516
352	280	514
353	281	513
354	281	511
355	282	510
356	282	509
357	283	507
358	283	506
359	284	505
360	284	504
361	285	502
362	285	501
363	286	500
364	286	498
365	287	497
366	287	496
367	288	494
368	288	493
369	289	492
370	289	490
371	289	489
372	290	488
373	291	487
374	291	486
375	292	484
376	292	483
377	293	482
378	293	481
379	294	480
380	294	479
381	295	477
382	295	476
383	296	475
384	296	474
385	297	472
386	297	471
387	298	470
388	298	469
389	299	468
390	299	467
391	300	465
392	300	464
393	301	463
394	301	462
395	302	460
396	302	459
397	303	458
398	303	457
399	304	456
400	304	454
401	305	453
402	305	452
403	306	451
404	306	450
405	307	449
406	307	448
407	308	447
408	308	445
409	309	444
410	309	443
411	309	442
412	310	441
413	310	440
414	311	438
415	311	437
416	312	436
417	312	435
418	313	434
419	313	433
420	314	432
421	314	431
422	315	430
423	315	429
424	316	427
425	316	426
426	317	425
427	317	424
428	318	423
429	318	422
430	319	421
431	319	420
432	319	418
433	320	417
434	321	416
435	321	416
436	322	415
437	322	414
438	323	412
439	323	411
440	324	410
441	324	409
442	325	408
443	325	407
444	326	406
445	326	405
446	327	404
447	327	403
448	327	402
449	328	401
450	328	400
451	329	399
452	330	398
453	330	397
454	331	396
455	331	395
456	332	394
457	332	393
458	333	392
459	333	391
460	334	390
461	334	389
462	335	388
463	335	387
464	335	386
465	336	385
466	337	384
467	337	383
468	338	382
469	338	381
470	338	380
471	339	379
472	339	378
473	340	377
474	340	376
475	341	375
476	341	374
477	342	373
478	342	372
479	342	371
480	343	370
481	343	369
482	344	368
483	345	368
484	345	367
485	346	366
486	346	365
487	347	364
488	347	363
489	348	362
490	348	361
491	349	360
492	349	359
493	350	358
494	350	357
495	350	356
496	351	355
497	351	354
498	352	353
499	353	353
500	353	352
501	354	351
502	354	350
503	355	349
504	355	348
505	356	347
506	356	347
507	357	346
508	357	345
509	358	344
510	358	343
511	359	342
512	359	341
513	360	340
514	360	339
515	361	338
516	361	338
517	362	337
518	362	336
519	363	335
520	363	334
521	364	333
522	364	332
523	365	331
524	365	330
525	365	329
526	366	328
527	366	327
528	367	327
529	368	326
530	368	325
531	369	324
532	369	324
533	370	323
534	371	322
535	371	321
536	372	320
537	372	320
538	373	319
539	373	318
540	374	317
541	375	316
542	375	316
543	376	315
544	376	314
545	377	313
546	377	312
547	378	311
548	378	311
549	379	310
550	379	309
551	380	308
552	380	307
553	380	306
554	381	305
555	381	304
556	382	304
557	383	303
558	383	302
559	384	301
560	384	300
561	385	300
562	385	299
563	385	298
564	386	297
565	386	296
566	387	295
567	387	294
568	388	294
569	388	293
